Route, Time [min] 
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Metro Halsey Street--Distribution Centre Auckland, 162.72883333333334
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Mt Eden--Distribution Centre Auckland, 187.132
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Mt Roskill--Distribution Centre Auckland, 187.5776666666667
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Newmarket--Distribution Centre Auckland, 194.15583333333333
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Onehunga--Distribution Centre Auckland, 187.01333333333335
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Ponsonby--Distribution Centre Auckland, 192.35416666666669
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Pt Chevalier--Distribution Centre Auckland, 195.24566666666666
Distribution Centre Auckland--Countdown Grey Lynn--Countdown St Johns--Distribution Centre Auckland, 212.1985
Distribution Centre Auckland--Countdown Grey Lynn--Countdown St Lukes--Distribution Centre Auckland, 186.1355
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Three Kings--Distribution Centre Auckland, 206.21766666666667
Distribution Centre Auckland--Countdown Grey Lynn--Countdown Victoria Street West--Distribution Centre Auckland, 208.68766666666664
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Metro Albert Street--Distribution Centre Auckland, 170.91183333333333
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Metro Halsey Street--Distribution Centre Auckland, 163.73833333333334
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Mt Eden--Distribution Centre Auckland, 180.63
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Mt Roskill--Distribution Centre Auckland, 181.07566666666668
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Newmarket--Distribution Centre Auckland, 190.0795
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Onehunga--Distribution Centre Auckland, 181.31766666666667
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Ponsonby--Distribution Centre Auckland, 187.957
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Pt Chevalier--Distribution Centre Auckland, 190.2278333333333
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown St Johns--Distribution Centre Auckland, 208.12216666666666
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown St Lukes--Distribution Centre Auckland, 179.63333333333333
Distribution Centre Auckland--Countdown Grey Lynn Central--Countdown Three Kings--Distribution Centre Auckland, 200.52200000000002
